"country","year","month","total_sentences"
"DE",2012,10,3530
"DE",2012,11,5488
"DE",2012,12,1867
"DE",2013,1,2688
"DE",2013,2,3207
"DE",2013,3,3601
"DE",2013,4,3779
"DE",2013,5,1927
"DE",2013,6,7021
"DE",2013,9,332
"DE",2013,10,36
"DE",2013,11,967
"DE",2013,12,463
"DE",2014,1,2729
"DE",2014,2,2571
"DE",2014,3,2116
"DE",2014,4,3390
"DE",2014,5,2683
"DE",2014,6,3736
"DE",2014,7,1732
"DE",2014,9,4030
"DE",2014,10,3289
"DE",2014,11,5067
"DE",2014,12,3055
"DE",2015,1,2677
"DE",2015,2,2604
"DE",2015,3,4548
"DE",2015,4,1585
"DE",2015,5,3123
"DE",2015,6,3046
"DE",2015,7,1927
"DE",2015,8,141
"DE",2015,9,4190
"DE",2015,10,2418
"DE",2015,11,5211
"DE",2015,12,2887
"DE",2016,1,2823
"DE",2016,2,2874
"DE",2016,3,1316
"DE",2016,4,2739
"DE",2016,5,1479
"DE",2016,6,4297
"DE",2016,7,1547
"DE",2016,9,5015
"DE",2016,10,1574
"DE",2016,11,3620
"DE",2016,12,2859
"DE",2017,1,2492
"DE",2017,2,1513
"DE",2017,3,4627
"DE",2017,4,1435
"DE",2017,5,2202
"DE",2017,6,5285
"DE",2017,9,220
"DE",2017,10,35
"DE",2017,11,604
"DE",2017,12,825
"DE",2018,1,1043
"DE",2018,2,2060
"DE",2018,3,2667
"DE",2018,4,2313
"DE",2018,5,1519
"DE",2018,6,3844
"DE",2018,7,1545
"DE",2018,9,2748
"DE",2018,10,2529
"DE",2018,11,4153
"DE",2018,12,1054
"IR",1992,12,72
"IR",1993,2,188
"IR",1993,3,315
"IR",1993,4,281
"IR",1993,5,185
"IR",1993,6,402
"IR",1993,7,132
"IR",1993,10,172
"IR",1993,11,299
"IR",1993,12,411
"IR",1994,1,88
"IR",1994,2,137
"IR",1994,3,436
"IR",1994,4,405
"IR",1994,5,251
"IR",1994,6,296
"IR",1994,8,39
"IR",1994,9,259
"IR",1994,10,164
"IR",1994,11,200
"IR",1994,12,179
"IR",1995,1,30
"IR",1995,2,129
"IR",1995,3,146
"IR",1995,4,27
"IR",1995,5,397
"IR",1995,6,169
"IR",1995,7,58
"IR",1995,9,50
"IR",1995,10,256
"IR",1995,11,212
"IR",1995,12,617
"IR",1996,1,108
"IR",1996,2,113
"IR",1996,3,117
"IR",1996,4,256
"IR",1996,5,205
"IR",1996,6,261
"IR",1996,7,85
"IR",1996,9,11
"IR",1996,10,80
"IR",1996,11,363
"IR",1996,12,197
"IR",1997,1,85
"IR",1997,2,571
"IR",1997,3,198
"IR",1997,4,46
"IR",1997,5,87
"IR",1997,6,92
"IR",1997,7,36
"IR",1997,9,240
"IR",1997,10,273
"IR",1997,11,514
"IR",1997,12,630
"IR",1998,1,234
"IR",1998,2,809
"IR",1998,3,1126
"IR",1998,4,563
"IR",1998,5,262
"IR",1998,6,955
"IR",1998,7,244
"IR",1998,9,399
"IR",1998,10,551
"IR",1998,11,699
"IR",1998,12,845
"IR",1999,1,357
"IR",1999,2,858
"IR",1999,3,662
"IR",1999,4,349
"IR",1999,5,336
"IR",1999,6,350
"IR",1999,7,94
"IR",1999,9,187
"IR",1999,10,545
"IR",1999,11,657
"IR",1999,12,619
"IR",2000,1,120
"IR",2000,2,596
"IR",2000,3,391
"IR",2000,4,441
"IR",2000,5,563
"IR",2000,6,711
"IR",2000,10,453
"IR",2000,11,715
"IR",2000,12,387
"IR",2001,1,158
"IR",2001,2,482
"IR",2001,3,1015
"IR",2001,4,411
"IR",2001,5,457
"IR",2001,6,658
"IR",2001,7,157
"IR",2001,9,22
"IR",2001,10,505
"IR",2001,11,772
"IR",2001,12,536
"IR",2002,1,373
"IR",2002,2,732
"IR",2002,3,182
"IR",2002,4,159
"IR",2002,6,888
"IR",2002,7,171
"IR",2002,9,860
"IR",2002,10,1090
"IR",2002,11,2022
"IR",2002,12,1564
"IR",2003,1,392
"IR",2003,2,2179
"IR",2003,3,1493
"IR",2003,4,1705
"IR",2003,5,2025
"IR",2003,6,2685
"IR",2003,7,524
"IR",2003,9,135
"IR",2003,10,2510
"IR",2003,11,2462
"IR",2003,12,2422
"IR",2004,1,807
"IR",2004,2,2369
"IR",2004,3,2511
"IR",2004,4,1284
"IR",2004,5,2167
"IR",2004,6,2141
"IR",2004,7,1093
"IR",2004,9,273
"IR",2004,10,2226
"IR",2004,11,2356
"IR",2004,12,1630
"IR",2005,1,397
"IR",2005,2,1827
"IR",2005,3,1917
"IR",2005,4,1488
"IR",2005,5,1375
"IR",2005,6,2120
"IR",2005,7,125
"IR",2005,9,275
"IR",2005,10,2240
"IR",2005,11,2582
"IR",2005,12,1476
"IR",2006,1,628
"IR",2006,2,1979
"IR",2006,3,2246
"IR",2006,4,993
"IR",2006,5,2175
"IR",2006,6,2309
"IR",2006,7,791
"IR",2006,9,371
"IR",2006,10,2075
"IR",2006,11,2343
"IR",2006,12,1221
"IR",2007,1,392
"IR",2007,2,2275
"IR",2007,3,2141
"IR",2007,4,931
"IR",2007,6,725
"IR",2007,7,988
"IR",2007,9,792
"IR",2007,10,4068
"IR",2007,11,3667
"IR",2007,12,3668
"IR",2008,1,1201
"IR",2008,2,3092
"IR",2008,3,1680
"IR",2008,4,3453
"IR",2008,5,3587
"IR",2008,6,1338
"IR",2008,7,3649
"IR",2008,9,946
"IR",2008,10,4188
"IR",2008,11,2261
"IR",2008,12,2467
"IR",2009,1,983
"IR",2009,2,3902
"IR",2009,3,2937
"IR",2009,4,2251
"IR",2009,5,2792
"IR",2009,6,4057
"IR",2009,7,1470
"IR",2009,9,1539
"IR",2009,10,3015
"IR",2009,11,4523
"IR",2009,12,3622
"IR",2010,1,3444
"IR",2010,2,2405
"IR",2010,3,2688
"IR",2010,4,3293
"IR",2010,5,2291
"IR",2010,6,3802
"IR",2010,7,3050
"IR",2010,9,1361
"IR",2010,10,3990
"IR",2010,11,4590
"IR",2010,12,2157
"IR",2011,1,1114
"IR",2011,2,69
