"country","issue","govopp","distinctiveness","se","n"
"Germany","environment","Government",0.193365525929036,0.00572312482584484,4763
"Germany","environment","Opposition",0.21390977443609,0.00795229247205073,2660
"Germany","welfare","Government",0.227021597187343,0.0093905435058682,1991
"Germany","welfare","Opposition",0.206502636203866,0.0120048105809374,1138
"Ireland","environment","Government",0.64141910139946,0.00531396850150959,8146
"Ireland","environment","Opposition",0.218220793140407,0.00604798703774597,4665
"Ireland","welfare","Government",0.359223300970874,0.0193149248651223,618
"Ireland","welfare","Opposition",0.418709677419355,0.0125350865470326,1550
